State of company,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB,Cluster
Acre,-0.410740013266886,-0.7750960510530372,-0.6065078274754807,-0.6963927226517224,-0.5768484872895694,-0.689053635911259,-0.6192123941233487,-0.7033777264209807,-0.6119286624455713,-0.7059257785205953,-0.6220880811101078,-0.7231040927491733,-0.6042734610711827,-0.7139931196726083,-0.5455398220295605,-0.6934144623546858,-0.546731131933166,-0.6251528253593958,-0.5381517638761143,-0.646543707075358,-0.5232955066568273,-0.6134437076393168,-0.5165470314121052,-0.6436894916920928,-0.5207937565916122,-0.655523830149583,-0.5232632512393223,-0.6355302111394494,-0.5177824209278427,-0.6269268986822084,-0.54988085810506,-0.6264453832072009,-0.5284229978578346,-0.6011741398043935,-0.5129395905215257,-0.5808714854976473,-0.4875202041993362,-0.5594245604167879,-0.4986962323312391,-0.5254493129728568,-0.4812864082780401,-0.5096956868995555,-0.4742778734003829,-0.5274510537973615,-0.4609152055219516,-0.5123872906671034,-0.4454192097462431,-0.5074559320490319,-0.4549531115337552,-0.4962700439301952,-0.4541121908875951,-0.4709937537324283,-0.4331530984630589,-0.4744932442471322,-0.421066550984027,-0.4847165836353301,-0.4105822931517072,-0.4987878760042631,-0.4052760702853009,-0.516211470362802,-0.4032446051955702,0
Alagoas,-0.7809318032201179,-0.5133632441428515,-0.4698683875243294,-0.6561945885593413,-0.5258781477453952,-0.6563489460553278,-0.5642594512752696,-0.664802151111896,-0.5633083882084075,-0.6836373662492519,-0.5735454988884297,-0.706533814172889,-0.5470529153555056,-0.6886352550354193,-0.4834653861772162,-0.6765963974780284,-0.4935799303837193,-0.5977218863319107,-0.4915429915427409,-0.5992968217354038,-0.4693360226731845,-0.5721180818763906,-0.4579409121702595,-0.5758437609249647,-0.4702628550506526,-0.6102320284219561,-0.4877965981900091,-0.586552407063638,-0.4889043444833142,-0.5626354943331883,-0.5215950016022273,-0.5452003054305459,-0.5002708583478143,-0.5330571898125025,-0.4941767249596643,-0.505700948219564,-0.4759481233639966,-0.4921725122716072,-0.4816710313246289,-0.4646331996270438,-0.45564742678836,-0.4375995314768846,-0.4582300195730851,-0.4619977299204045,-0.4444976986390557,-0.4504293776783206,-0.4324523679021368,-0.4455354802958797,-0.4424909900702872,-0.4364124267458596,-0.4226791226271456,-0.415176801034661,-0.4207581108467833,-0.4281708497726756,-0.4086553736092859,-0.4332353980566661,-0.3967791810592115,-0.431950613556274,-0.3881499174131516,-0.4328635051040667,-0.3813287732280729,0
Amapá,-0.468552153861953,-0.7860611561751363,-0.6380400059257464,-0.6935843407090253,-0.5659195595033426,-0.6834270916039364,-0.5847076435039706,-0.6952772151575396,-0.5335891629790808,-0.6974266906337981,-0.574817070448073,-0.7070945129782443,-0.5729757151178976,-0.6889298030832871,-0.5287882549120355,-0.6745792900769415,-0.5370984150712876,-0.6077162309792035,-0.5252384499884236,-0.6266776153684847,-0.5150486414060529,-0.5914109171739848,-0.5117010207898581,-0.6230060628017113,-0.517436753956051,-0.6231644303955478,-0.5176100768926659,-0.6046616619795692,-0.5126628824282142,-0.5948856322174502,-0.5421540750446956,-0.587388219573422,-0.5245785008638048,-0.5744958092806294,-0.5094187854495221,-0.5636189690661536,-0.4835268094716524,-0.5459906022619763,-0.4953265103371319,-0.5157397690268543,-0.4757555387145853,-0.4980923493653491,-0.4730424917998833,-0.5196460820535705,-0.458190604478686,-0.5064044715869643,-0.4401082032938507,-0.5044063686146154,-0.4538929045538214,-0.4934362985164874,-0.4529163351389065,-0.4658771001554384,-0.4319181965869825,-0.4663758835612741,-0.4164758320835454,-0.4735068259423729,-0.405781105812205,-0.4838117315667826,-0.4022148685304091,-0.5033094775828943,-0.3990758987925627,0
Amazonas,3.377020581830936,-0.4206464279279518,-0.3910379413986652,-0.6518174553608526,0.3861339493478599,-0.6361495444780055,0.4071776069153657,-0.6471537425774593,0.2545431054068852,-0.644048593021951,0.251557973443459,-0.6576716884903061,0.3794089313308146,-0.6451286946008726,0.3644648973459938,-0.6323177521440603,0.2668897044649443,-0.5794372137521238,0.2524513511107747,-0.5903622702566035,0.259250475110344,-0.5579895660229904,0.1186512747591747,-0.5669638436747031,0.2173913917504644,-0.5804182434080167,0.2869968475287832,-0.5539261906825005,0.3160825353299516,-0.5572849012940427,0.3423154269503209,-0.5638141202587743,0.2730124532147294,-0.5005821621508356,0.3352654513672645,-0.474638249984416,0.2423826815512028,-0.4577395745222024,0.2882867199919836,-0.421701138061816,0.26301803326844,-0.3571108782538433,0.3952260040280341,-0.2660740305132709,0.4165409214476939,-0.3444810237857442,0.3752314374096263,-0.266659404534695,0.4143488901907911,-0.2648612870587362,0.3480092465515386,-0.28349256297855,0.2537671906982844,-0.2931771852522204,0.3581477395686566,-0.3643690372884182,0.2251087439560465,-0.4295826141116542,0.161752963578813,-0.4639464299654497,0.378798966860234,0
Bahia,0.6769875710687409,0.741262742038246,0.0136250153797444,-0.04287837371782,-0.0235460257738531,-0.0532643568578076,0.0597632443317106,-0.0829055108519171,-0.027748588452547,0.0781379758264415,0.077665094741518,-0.0631263496566009,-0.0054062584517758,-0.0077398575071753,-0.0801727958726894,-0.0452412023712644,0.0074311119431324,-0.049203285968216,0.0886869045441544,-0.0110245237926204,0.1239307880011255,-0.018841722927947,0.1086213083307197,0.0488008305228137,0.1574015063441217,0.0495897704158807,0.0494239829762483,0.0574050780469601,-0.0027915787578894,0.1167421757788942,-0.025577719138306,0.0693336424332362,-0.0402679496586116,0.0846421444227279,-0.0016384442846539,0.1095143418408743,-0.0085977478585982,0.1931761336331851,-0.0121871381887438,0.157362581120189,0.0939603010801577,0.1731024628353777,0.1453585361807851,0.1829528451311586,0.0909579478297334,0.0803881280060917,0.127130386931813,0.0928016873776117,0.0368378929131504,0.018166028643144,0.0323190329075726,-0.0181519439901138,0.0456076348347268,-0.0307052094964631,0.0344171724989002,-0.0538637591076541,-0.0755387243435367,-0.0189846110537717,-0.1158032083465105,-0.0234618361555838,-0.1127309937508764,0
Ceará,-0.4520122980439749,0.1322102104508841,0.415660290620632,-0.6110715774888799,-0.4062243578986709,-0.6126153757019366,-0.4268134337966439,-0.5919078561529305,-0.3952723139313093,-0.5745589930064262,-0.3198185855865005,-0.5279358779156972,-0.3166150778204933,-0.5456812178227984,-0.3197385930951936,-0.5036312041118183,-0.3581343010943622,-0.4575439706210386,-0.3378312707401443,-0.4766190353959406,-0.3216912830265319,-0.4949196526793816,-0.1627778847703939,-0.5465551245659559,-0.301846395011366,-0.5356268964540662,-0.3378529658566777,-0.5288167309006838,-0.3249666308291301,-0.5156381476685277,-0.3587357115173096,-0.5080707460413668,-0.3772224656337946,-0.5003958149934162,-0.3465929542637241,-0.4705492705465358,-0.3613332025586841,-0.4607384077002954,-0.3771979932388219,-0.4225835409647858,-0.3292407551849137,-0.4121545790334046,-0.3201033622664484,-0.4148838246191507,-0.3609715736999825,-0.39040309607847,-0.3353383314180339,-0.3688155387371744,-0.3138850016924003,-0.3833534648046271,-0.2982262047097673,-0.3575499612222643,-0.2995623153698067,-0.357491103259869,-0.2732641319723348,-0.3752728223865189,-0.2769146239172407,-0.3846288748151408,-0.2877790800436216,-0.403845917931365,-0.2800222422856661,0
Distrito Federal,-0.8406778130115897,-0.5487105264707124,-0.0073964369204326,-0.6939979891069318,-0.4456014649848206,-0.6877235086263072,-0.515461072040679,-0.6999638196048689,-0.4636119971084734,-0.7007852586072841,-0.4753898291182265,-0.7179079030605741,-0.3358797671034879,-0.7084816930094388,-0.4209840457335423,-0.6881347006309984,-0.4580810949357865,-0.619751815372218,-0.4607409682187217,-0.6404597987053801,-0.4277525820554617,-0.604588692299892,-0.3655526805308777,-0.6313644421265047,-0.4225724687130318,-0.6446899075030421,-0.4449565168473465,-0.6276293814436278,-0.4388947427646579,-0.6195424472968006,-0.4722291936669662,-0.6211437171897709,-0.4495398557851301,-0.5992538591161277,-0.3928223918738164,-0.578805365783011,-0.3740622761178508,-0.5575338902295607,-0.4145753252918854,-0.5254563697730134,-0.3592934322300462,-0.5102708531497829,-0.3540679901489059,-0.5268004352807629,-0.3351741748832535,-0.5097767360143608,-0.3479678638018585,-0.5070225165647426,-0.3180362815315271,-0.4961847761307844,-0.3026747859784667,-0.4716241464809701,-0.3143161150067146,-0.4738730133894487,-0.3186177522191479,-0.4842657356163533,-0.261300115519461,-0.4955015689566759,-0.3322124167159657,-0.5131264923948271,-0.3524296146189988,0
Espírito Santo,-0.7311997197402111,-0.4329377025908884,-0.3332289475731781,-0.1390802610823118,0.06304067964636,-0.0771671831081248,0.2641306590571486,-0.1336690258497015,0.0609864744809188,-0.1779582657002437,-0.0374433288836995,-0.0475084446173861,-0.1190042302253232,-0.2509314288761385,-0.07228586505807,-0.1014359099570019,-0.0846418941185644,0.0307583006262836,-0.1412194122856104,0.0155895840068551,-0.1105938536380832,-0.0711689640882647,-0.1410831372951926,0.2253944821575111,-0.0983217397289033,0.299528144204115,-0.1001017683119364,0.137485662765001,-0.0868869891662341,0.2015467916838513,0.0210059261439926,0.3740190204035573,0.1347678059579983,0.3602615962938163,0.0584793717480791,0.0830591980328992,0.0618452645689539,0.2383555039122085,0.1383100528648953,0.1031678995452357,0.2028497540208112,0.1755869843550402,0.182994074906679,0.1645911798789446,0.2040726500658131,0.15867668886231,0.1078638513973797,0.1976962821054914,0.0728196607354621,0.209140865279012,0.0412114228084325,0.1763401849367771,0.0623694594157622,0.3021490120233329,0.065487187951992,0.3486528593158064,0.1618585519519242,0.4208079829595498,0.2089190909549121,0.3380568112967453,0.3285911738009507,0
Goiás,0.0671014845356693,-0.0658223743544269,-0.1308974691839732,-0.0796912653565972,-0.2630605004623845,-0.085626303777472,-0.2626172884467367,-0.0240828670995394,-0.2770856146336983,1.3027745348211394e-05,-0.253691794730055,-0.166758979333593,-0.1861557245918098,-0.0356093085895098,-0.2349013705503387,-0.1434872827085717,-0.254764588468669,-0.2431627484790423,-0.2504968348711636,-0.1978459018709354,-0.2311107705742801,-0.187914575872777,-0.2487233181900228,-0.2376704405096203,-0.2450942820493585,-0.2571469800927228,-0.2509355700598168,-0.2898695795777324,-0.235242059735603,-0.2693697705751614,-0.2079536206006688,-0.3446101701709291,-0.1660888485199391,-0.3647980914753516,-0.1963993456308358,-0.320568069155955,-0.1942427764396807,-0.3439746395919913,-0.2622108039329612,-0.3031981578889509,-0.2983106981557259,-0.3525981110171968,-0.3347291183599347,-0.3627318278912436,-0.3377412781330074,-0.3581396657635963,-0.3292080555059962,-0.3880166933137445,-0.3618423146155793,-0.3891908195743439,-0.3702845796915159,-0.3730422864575075,-0.3514863515447504,-0.3978208254370188,-0.3469170424454466,-0.4217733875871525,-0.3407568838188352,-0.443601254310727,-0.3515983056932117,-0.436424213932279,-0.3669192754145452,0
Maranhão,0.044907698412566,-0.0976946413917202,-0.3936656229361873,-0.41016419349484,-0.3401114891595525,-0.3613687228558533,-0.3663445708306865,-0.376467081469528,-0.2786775353310887,-0.3718576765091797,-0.1595427966978568,-0.4114268789416628,-0.2933985567476598,-0.3990075304693953,-0.3606350630224177,-0.3865578594233154,-0.2625167641032762,-0.389732371110395,-0.2934982736905497,-0.4029842909403345,-0.2934646520456144,-0.402817626182548,-0.3035889367024214,-0.3530981452170075,-0.2239663709965115,-0.4432688483984097,-0.0874460517552614,-0.4564182608428191,-0.1191974879269847,-0.4078344188325837,-0.0806235823682171,-0.421952265948308,-0.1322244586127693,-0.4297984746008711,-0.2222391544078576,-0.4446715968008511,-0.2822985913117062,-0.3170976251523574,-0.1796510368414821,-0.3485406323040743,-0.2308206640625397,-0.3443770543101467,-0.2320807447425247,-0.333800556276185,-0.2650362198330931,-0.3217803747189826,-0.3044431637259444,-0.3550427419591158,-0.2866212804700516,-0.3377196460606748,-0.2288212425766815,-0.3467786523659957,-0.2586663706350274,-0.3036790334041129,-0.3233029255799178,-0.3122721691970231,-0.327981664741312,-0.335893514857751,-0.345505408947079,-0.3257878309878226,-0.331704221511905,0
Mato Grosso,1.5964333740590382,-0.4528795698239784,-0.2885583614353017,0.7162012317426124,-0.4667365620481762,0.6813676504481037,-0.4445310653880838,0.9302487195143336,-0.3907891986556051,1.0207695596714448,-0.2654752774336154,0.6870722433982127,-0.372921269905667,0.8249593401534622,-0.377204407247499,0.6573876031536358,-0.3857165533156259,0.1433370591502565,-0.4120755766965332,0.3146709576733191,-0.3972031319902091,0.3184781893877256,-0.396546624400122,0.3806412195492562,-0.4110748283724358,0.2566940396955113,-0.4130842915601244,0.2337171345923488,-0.4164957399917553,0.1029077630044433,-0.4425532450684023,-0.0815041931791168,-0.4276394648609493,-0.1179547966463147,-0.4379509482633433,0.0350895971368217,-0.4052780976568002,-0.187932980641621,-0.3993532874689279,-0.2394182817202112,-0.3982554047239891,-0.2287492325502353,-0.4167596037224918,-0.1719402223267401,-0.3892963651441796,-0.2592563002627581,-0.3613276430417749,-0.2986816751080115,-0.3815231622277326,-0.3005578757307686,-0.3990209993585735,-0.2813889544716824,-0.4029257658715554,-0.3326992477492833,-0.4032931829551363,-0.3824802365776602,-0.3702277867598351,-0.4149036580532393,-0.3733101680789456,-0.349738710097668,-0.4001951624036808,0
Mato Grosso do Sul,0.1133526034620476,-0.5415423534165739,-0.3805272152485766,-0.1999784724321957,-0.4239595000612962,-0.2695460081657647,-0.4408070205272403,-0.2851515158281736,-0.4096714601386622,-0.3762872078118605,-0.41847129668599,-0.3988719318814848,-0.4120687941406661,-0.3096705439957875,-0.3673546080159645,-0.3423406354722194,-0.3542338121613599,-0.3367684439242552,-0.319505349922789,-0.3623045767718569,-0.2964370743116429,-0.3486971793758773,-0.2831736493611225,-0.3503707043546983,-0.2401435793165046,-0.3515934023492168,-0.2004489725743357,-0.3623391408015394,-0.18197580482567,-0.4201936033856628,-0.2043257904533608,-0.4232959987464418,-0.2464012572546929,-0.420874474028033,-0.2540083024723119,-0.4287039148582626,-0.2015828493699736,-0.4408378095622008,-0.1980900135485101,-0.454856560819587,-0.2357134853038194,-0.4528710236630954,-0.2328666633992195,-0.4609975838056486,-0.2815721839478452,-0.4575280916358154,-0.2939846363793942,-0.4557879128761135,-0.3273833614011777,-0.4544224270751537,-0.3450954135960394,-0.4374363863964485,-0.3735038386260318,-0.4281240768000875,-0.3888384614907842,-0.4429283066143328,-0.3992555528313017,-0.4341909854016469,-0.3746031671666997,-0.409920436627099,-0.3841761854942934,0
