State of company,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB,Cluster
Minas Gerais,0.7361428717238563,1.554339201256025,0.8702491966119622,1.534185610602336,0.4289355743426905,1.4061500461142635,0.4632384741008945,1.2885691103954184,0.4508027754124016,1.3879090813385278,0.4603954650156745,1.6876013126021694,0.3669773320896284,1.5089330238105172,0.2271507150489305,1.2791013554302677,0.1905940897112024,1.1123893394712627,0.1916745987547181,1.3844978785582327,0.1434110824137143,1.3763150931859394,0.1483431214052209,1.4232881097434729,0.2028406485350266,1.6650333997146676,0.1552103578835702,1.6671102338882184,0.2014508425869975,1.593772456818101,0.2518136953718964,1.9661678797520377,0.2928209894908828,1.76948557569636,0.2465036192653174,1.2863692782502685,0.2697361983847076,1.2480989989823326,0.3145636515727891,1.0471158609012934,0.2187479707425474,0.993892699043476,0.2107110843515548,1.0161048287987815,0.207894393645523,0.8678373613379492,0.1322413403730681,0.8176562848564561,0.1638141410025838,0.7398060290911201,0.1991819011962879,0.6727744416755229,0.2012841255513356,0.891462253039671,0.1488090579492762,1.153807758169643,0.2828519977838968,1.3033702724456786,0.3301397293540983,1.3147582205037072,0.2908909855891084,1
Pará,2.532046323531279,0.1145053572568739,-0.2517708199099917,0.563573912372229,-0.4209592841154206,0.6096445595297202,-0.4889678269667414,0.5569160166176914,-0.4809867631879349,0.5209178681417397,-0.453539475687659,1.3231602710545876,-0.4897610887981243,1.1553369805813958,-0.4334427193384652,0.8004731291523987,-0.4487663199573544,0.515810567909789,-0.4442299256318968,0.518726014773168,-0.4358212697316385,0.3468384603172201,-0.4040657186847046,0.3068050528740403,-0.4430118914799625,0.4858071587940324,-0.4635332219284363,0.5397212626762553,-0.4526428025031411,0.4165675561648548,-0.4590460851306078,0.5908948499785,-0.4439376053910903,0.5034450093505719,-0.4256176760627355,0.2794477427831728,-0.4058064323809892,0.2378078830717864,-0.4200655738422471,0.1704337226012014,-0.4125113875642362,0.1442354128818845,-0.3840244287934006,0.0236222100632466,-0.3924204598930854,0.0217073784112322,-0.3929530200127106,-0.0150741356864099,-0.3799658719728689,-0.0017198764385478,-0.3891469903806329,0.0164820806301282,-0.3763426030013568,0.0803928902647028,-0.3659021507134822,0.0836661881375557,-0.3701754972352494,0.0123679962775586,-0.356304465329354,-0.0677521700252769,-0.3676139750157959,0
Paraíba,-0.7030566487438046,-0.394023591482517,-0.5040282475121173,-0.6909065935651781,-0.5071754839340886,-0.6829582014932745,-0.527135650993151,-0.6906417079423858,-0.5383847952902245,-0.6930361198344938,-0.558827700298087,-0.7132160554604475,-0.5573416707884844,-0.7064217391393891,-0.4985403841025557,-0.685646589376461,-0.5010573719903089,-0.6189191900539058,-0.4952018934032718,-0.6366611465859272,-0.4869749273795149,-0.6033685450211819,-0.4849933511424261,-0.6329443225348164,-0.474709036553986,-0.6426132918602011,-0.4835469262548476,-0.6235250363780411,-0.4804760033914199,-0.6129479878190539,-0.5103998270928978,-0.614590630650615,-0.4653273784028934,-0.5856161236614331,-0.4611733834091188,-0.5655616492742743,-0.443101978053859,-0.5431371460280394,-0.4680282675058749,-0.5049964071084962,-0.4485125085154833,-0.4897136062546264,-0.4507427449627165,-0.5021529858459033,-0.445060675956698,-0.4835197707204985,-0.4266533616750468,-0.4769683540953648,-0.4399171797255651,-0.4702924527463566,-0.4345660673687069,-0.449097279888117,-0.4160399817439033,-0.4560132093173951,-0.3917889483104775,-0.4690101040739746,-0.3821621561576554,-0.4809621376479157,-0.3762496899301643,-0.4914546896801134,-0.3695453082936854,0
Paraná,-0.3152068749644913,0.4543700771582289,0.4340540613832869,0.8331027275273684,0.5581763197574716,0.7639983086882842,0.6273159831351596,0.9168148118621274,0.6360445754867582,0.7905140687082622,0.7586881272508146,0.7523228659773467,0.6581068931082635,0.9174151059218498,0.5667301735815087,0.8504995687794596,0.6074967385788376,0.5971833565528969,0.5777458604828167,0.9281576086753832,0.6159328573580066,0.8808410549264064,0.6155315858590823,0.8871519634504107,0.5040980914924236,0.7662716587294167,0.5458282247819511,0.7926845325138256,0.6155439259460127,0.7679408962745549,0.7462223860853938,0.6765358156764036,0.6579296603781214,0.6777837231159746,0.5508822589482426,0.7162648092680162,0.5052758506941128,0.6773359711371545,0.6386425682068201,0.6416571049703588,0.4948928272091585,0.5353572460293461,0.3670286748253281,0.6737436498381122,0.3061762341043843,0.832236942222866,0.3273985122704118,0.7205382623563854,0.4344284647889944,0.6501760202917231,0.4152137910070876,0.6684782392388938,0.6098706037195072,0.5488147759376423,0.535002882513165,0.5499488354220864,0.4245711003143839,0.5910638951119918,0.3682397592369715,0.6575325831522696,0.2142087904843755,1
Pernambuco,-0.589872558866952,0.229077315366254,-0.1335251507214954,-0.5551402400058659,-0.1373776229247584,-0.5739024112432364,-0.1460740135232461,-0.5784104369025824,-0.1249399335219899,-0.5332439668822567,-0.1379150267236209,-0.5568973325365182,-0.1107073925103891,-0.5379944512869202,-0.1363201344412555,-0.5110406094086151,-0.0489291477287255,-0.4413260126676153,0.0063458407259629,-0.4781855482989638,-0.0108856084564308,-0.4760210053149035,-0.0653169357978767,-0.5404957106004874,-0.1045148347811271,-0.572952661555468,-0.0711160122421719,-0.5754297872216382,-0.1195979666550236,-0.5674078773111929,-0.1103140415244233,-0.5506211930370741,-0.1782629255056227,-0.5164107128273066,-0.2635424960097914,-0.5000872438546305,-0.2836737105335513,-0.4839890526792158,-0.3063570691603678,-0.4456827513407286,-0.2957522253751168,-0.4370477218619373,-0.3312469237989295,-0.4426091790337084,-0.3245266659762485,-0.4426785279023475,-0.3034579989713354,-0.4231031769666428,-0.2717757911579616,-0.4269242793888835,-0.2456753043001578,-0.4059856664819609,-0.2198213683917097,-0.4061572245775068,-0.227467188419349,-0.4148984601955898,-0.2382788451594115,-0.4127378180766211,-0.2227105283120527,-0.4309478303183859,-0.2384380897864876,0
Piauí,-0.1732819727032526,-0.4890236702190235,-0.5933694197878701,-0.6707652860463393,-0.5504916022083007,-0.6349066327595744,-0.6018192232222577,-0.6301954668718664,-0.5756255374442599,-0.6264810940646903,-0.6071252077239655,-0.6781801342576119,-0.5657650538566276,-0.6720501298950384,-0.5177424998179057,-0.6600747057329942,-0.5238197523421494,-0.6072737965660989,-0.5275477124962233,-0.6223578343269149,-0.4921956168197067,-0.6030366676715069,-0.507325539454703,-0.6163404243305296,-0.5121817630565572,-0.6439498792972752,-0.508645792571327,-0.6318239721663194,-0.5063760344481099,-0.6210105759750019,-0.5388425615800463,-0.6239617295196914,-0.5189094957445528,-0.5966849549424921,-0.4986891414363146,-0.5705841296122761,-0.4806150135413424,-0.5543317919977228,-0.4932082495168788,-0.5225273262394297,-0.4767355288723484,-0.5076227925775152,-0.4708213237439347,-0.5220098470839024,-0.4584707526774042,-0.5034578984990296,-0.442352848420818,-0.500403083059524,-0.4525401286435706,-0.4889835629942858,-0.4517612022744328,-0.464802356172351,-0.4310785037330998,-0.4623180281892491,-0.4190130069258137,-0.4728565830943612,-0.4081793613810685,-0.4826652384238369,-0.4009574891878296,-0.4991531728845669,-0.4018230653792461,0
Rio de Janeiro,-0.7375146816979256,0.9592398140645736,1.1592941657393978,2.216164802458223,1.0254933899047731,2.220040592085728,1.1579563140938638,2.0785335098753808,1.1622902602862648,2.034614715703458,0.9404601851478088,1.873996827025557,1.0613919737932538,1.4709533456246695,1.1832696313678734,1.835396058237287,1.0917359648098328,1.6611205471138923,1.045605133306594,1.1633191950578512,0.6918026676489095,0.8952721337823886,0.7545152263166085,0.9293909577778542,0.8901616501986455,1.1963059051701228,0.8142884864604243,1.060588489216613,0.7436881871773253,1.5061417806080084,0.8418124268220755,1.4125838362448169,0.8149143556087156,1.1755393899125357,0.9364075865131049,1.058596427365054,0.9298196201684789,0.8838083326791885,0.8959568169574131,0.7793731536379946,0.8045251420140795,0.6871754738255529,0.8404716433205245,0.5511036661047485,0.987152017062393,0.3157491825522027,0.9900782224411402,0.3143595792659978,0.9856766674641754,0.4407555094195809,1.1330839574644382,0.2480184012989726,0.8630362255274984,0.1549263716760339,0.6048889718334736,0.1952765515648179,0.5909214065330608,0.3412560829876162,0.5134609978630623,0.4665396864698596,0.5614241301827547,1
Rio Grande do Norte,-0.7129721235326434,-0.4573255754225772,-0.4619853429117629,-0.6347260856578022,-0.5486561923075958,-0.6298706256916679,-0.5816107049540714,-0.6664710229255578,-0.5650599468436976,-0.6867159336902864,-0.5955687130194143,-0.7046234676952509,-0.5797234100511611,-0.6908121851229553,-0.5289107343566135,-0.6647141127370475,-0.5334134831913332,-0.6093020007902312,-0.5251546979781899,-0.6246563112453393,-0.507572084671755,-0.5906410418821088,-0.4980103576404286,-0.6203952664847511,-0.5009842159180411,-0.6381845172519377,-0.5044645705295522,-0.6195210720713016,-0.5023721160540873,-0.61102634980839,-0.5354907477943598,-0.6103385662786192,-0.513502324818737,-0.5812764018682844,-0.4889740679112577,-0.5565416496020593,-0.4722771505724554,-0.5352367841369057,-0.4826423261708512,-0.4952955230805546,-0.4650342931563658,-0.4742874487465739,-0.4545869547115471,-0.4779563048010124,-0.4419680198426507,-0.4235450520496435,-0.4187140606063004,-0.4494039563876608,-0.4120790684083347,-0.4492522555042197,-0.4245951512712635,-0.4335723160374697,-0.4160568655645524,-0.4403494099860211,-0.4086212110615224,-0.4574215835402687,-0.395197391989074,-0.4777692908332704,-0.3898149290898581,-0.4972076933608172,-0.3855947231022739,0
Rio Grande do Sul,-0.0913914025500406,0.3700604604616225,0.5050014628963848,0.3172235075154199,0.1225988133678931,0.4491161971730443,0.2064665904374617,0.5025994982555252,0.332566124161093,0.4928207304627799,0.3625962511548375,0.64298066498255,0.2691148947944127,0.5090848129982316,0.1664852185700011,0.7090639889573978,0.280639878837164,0.6224650791422686,0.3563762799543424,0.6779667471484407,0.3670463260946142,0.7487691009251005,0.3237487113390359,0.8396982741920191,0.2969403300821696,0.7731890242751055,0.3947059934258214,0.8448554153344958,0.456492728280106,0.5583304889631364,0.4379871375322614,0.5690917965853522,0.3152467252215913,0.4962265515166881,0.3089936634480035,0.745354304087062,0.2598057862358436,0.5728432156576927,0.3376680505947239,0.5739544991228683,0.3523066690943602,0.5075570484434345,0.3493151067875931,0.6313677379612508,0.3534241197104181,0.8162494547591332,0.353081578354071,0.9047023723102688,0.4301997892738432,0.8544905427330001,0.2835445006825175,0.8300423035591542,0.2681995044463856,0.797938233844941,0.403554990113793,0.7828310648640936,0.3181076239138443,0.8381767095149232,0.4010150106173181,0.9924988576047784,0.2627358752999002,1
Rondônia,-0.2112631637206419,-0.6602851044797612,-0.611763190550525,-0.5018162303134676,-0.4767263375555742,-0.5559613123040641,-0.5309326721086924,-0.5691606158326571,-0.5395169284439808,-0.5842303505620726,-0.5780694036245859,-0.61677914846392,-0.5603428415363535,-0.5921079347337371,-0.4926889553398015,-0.5963281103544543,-0.4687925258026532,-0.5534273342004268,-0.4679548618314997,-0.5576513834559736,-0.4551259133235435,-0.5393884492425984,-0.4615521723751108,-0.5691428187295123,-0.468328708912941,-0.5763009384084811,-0.4841774215657127,-0.5694833112674916,-0.4819098493799369,-0.5704021252896833,-0.5050878026806108,-0.5879508644590371,-0.5029470483731654,-0.5640265736970471,-0.4945319239879866,-0.5420688452543871,-0.4701999783837571,-0.5239059063216505,-0.4862423340714182,-0.4948219286017554,-0.4729724832443626,-0.4819442231367887,-0.4658267188501185,-0.501867426336031,-0.4563157685664717,-0.4909154858026489,-0.4411644097483132,-0.4807659215458682,-0.4510245813930686,-0.4734997088056543,-0.4308150810440655,-0.456306400090649,-0.426171583317415,-0.45879587520579,-0.4130603532512364,-0.4672348248296661,-0.4091361732425142,-0.4898738265574198,-0.4017574500189087,-0.508866946691227,-0.4047333102784146,0
Roraima,-0.2473456467997428,-0.7889553315336707,-0.6406676874632685,-0.690267255733359,-0.5736127749832005,-0.6724633861018214,-0.6174363079289273,-0.6819501024920597,-0.6101475282024797,-0.6786317378620085,-0.6199568764047448,-0.7005212017135187,-0.6000723913561358,-0.7000920540178316,-0.5427703010137483,-0.6890639066067435,-0.5461448139658593,-0.627080025804869,-0.5375366164307641,-0.644527753781207,-0.5227138594074322,-0.6133566455954094,-0.5160038558445712,-0.6459687208746511,-0.5205340521868215,-0.6555321951974423,-0.5232244290674318,-0.6363409526525761,-0.5174350239048366,-0.6269290318086354,-0.5497934905646824,-0.6270817485776482,-0.5283979447815791,-0.6020009555536787,-0.5125813643489396,-0.5812644320254816,-0.4866162210124556,-0.5601039210655177,-0.4985943616510888,-0.5262749399782327,-0.4813278842595139,-0.5108847482321471,-0.4743908838630101,-0.5285553111650351,-0.4608535299564195,-0.5125119149941338,-0.445043726405813,-0.50754687929795,-0.4545740115556662,-0.4958137515068872,-0.4544885846036939,-0.471187420327267,-0.4335554426438218,-0.4736557015368239,-0.4214902729320308,-0.4844666170700402,-0.4102734349406038,-0.4986649985048572,-0.4034871280344128,-0.5155585043669834,-0.4069449324610922,0
Santa Catarina,-0.596419585128235,-0.0473447386346443,0.1082215507305415,0.1712916486950531,1.4055214919042418,0.1278960999447284,1.52938867562511,0.1235031096033807,1.3630334196015983,0.1143276741681531,1.1646761276155122,0.1675999861007627,1.2491929905853556,0.2088692043314834,0.9613976479182256,0.1769695639495702,0.806432333131914,0.389650816856379,0.6828162301317435,0.2483689599131523,0.6018693316342917,0.2694095207001733,0.5276851707796212,0.1976854460311308,0.512430161184135,0.2376964887398366,0.464996393795044,0.203390085108654,0.3410371519778654,0.158778623587575,0.4124608258152877,0.0897888796737724,0.3949652635872177,0.1493445860854856,0.3743013547452052,0.2179850119604284,0.2495703404073047,0.2058147707599485,0.1208183960553849,0.235932373157249,0.0571780756884941,0.1811534158041078,0.0018614201773599,0.2384918451185241,-0.0983029174596093,0.2901396604909597,-0.1591405528376066,0.3033137534097698,-0.2030968716655017,0.297504477535581,-0.2091515080060109,0.2335713730497944,-0.2448172763645191,0.1752372613524851,-0.2154212958800725,0.2609248758837519,-0.1987853748634122,0.2047401402972949,-0.1487719886893552,0.2176755287329679,-0.1321120926454417,1
Sergipe,-0.7968598531468698,-0.5958495770677138,-0.5618372413376044,-0.6751363546765181,-0.5511727510793201,-0.6675775366034584,-0.5941187965513651,-0.6875642333581329,-0.595721406089183,-0.7009472303993288,-0.6008356726739444,-0.7190507212433014,-0.5917396567427251,-0.7125102150657764,-0.5317180879937751,-0.6915088731306273,-0.4903506572799014,-0.6230874603858905,-0.523148813734155,-0.6412805678601667,-0.5110771417207454,-0.6060314363955318,-0.5019337325263726,-0.6376616551797049,-0.5037222293950091,-0.6510550662617541,-0.5096612973983607,-0.6315919722565074,-0.5011421459987789,-0.6181816652145147,-0.5327445610320143,-0.6190072854128847,-0.5102894556934976,-0.5971514298423393,-0.5001959792126917,-0.5769968606589205,-0.4728726059446547,-0.5528640300221903,-0.4838408064631612,-0.5145037856057844,-0.4669311577587732,-0.503202984727177,-0.4622062488589307,-0.5215262233459462,-0.4459087424713449,-0.5063896151559255,-0.4267410851795409,-0.5014393891213218,-0.4309576057712297,-0.4890939744005824,-0.4291799391714925,-0.4676132561834937,-0.4129692616881272,-0.4675349065163747,-0.4031221894890796,-0.4796376283088704,-0.3886127888811055,-0.4914542155412287,-0.3846811743697517,-0.5075568374396157,-0.3846160224449844,0
Tocantins,-0.1022984248177634,-0.676854022038895,-0.6065078274754807,-0.5313527919804224,-0.5669560224406938,-0.5627202584257074,-0.6114847813182417,-0.5381768653517399,-0.5936189709133547,-0.5423422247685754,-0.5680864831727875,-0.600083234925337,-0.5588674603803954,-0.5935861576015764,-0.522033542294472,-0.6052856885072392,-0.5328557388631759,-0.5740438887515457,-0.5202023742286866,-0.5683543857095488,-0.5040753755252846,-0.5511381177205171,-0.5048710056357636,-0.5597245527325234,-0.5095937419959097,-0.5797650964977892,-0.5092176381762656,-0.5851146100837943,-0.507120115289967,-0.5817619281739289,-0.5418067218748981,-0.5938860914891321,-0.5187618956467429,-0.5750374042654766,-0.4950344291735453,-0.554814373605587,-0.4746043859374728,-0.5379997961528965,-0.4876741898394682,-0.5156782979468243,-0.4734901358293665,-0.496112127946853,-0.4710888163947265,-0.5119166633446682,-0.4587340311044049,-0.4964914554303013,-0.4392406173570187,-0.4988233105480772,-0.4501583146305099,-0.4954099313008883,-0.4480836810859134,-0.4714030299027033,-0.4325676011321998,-0.4735621658440753,-0.4194516194928606,-0.4835909353244394,-0.405522497376215,-0.4954802230602841,-0.3979576122644693,-0.5131086239263726,-0.4020420598915882,0
